TestName,ParameterName,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit,Condition
Left_Tweeter_IMON_Frequency,Left_Tweeter_IMON_Frequency,Hz,4002,3998,,,
Left_Tweeter_IMON_Peak_Power,,NA,0.095,0.028,,,
Left_Tweeter_IMON_Dbfs,,dB,-23,-28.5,,,
Left_Tweeter_IMON_THDN,,dB,-37,,,,
Left_Tweeter_VMON_Frequency,Left_Tweeter_VMON_Frequency,Hz,4002,3998,,,
Left_Tweeter_VMON_Peak_Power,,NA,0.2,0.05,,,
Left_Tweeter_VMON_Dbfs,,dB,-18,-20,,,
Left_Tweeter_VMON_THDN,,dB,-53,,,,
Play_500Hz_To_Left_Woofer,,,,,,,
Left_Woofer_IMON_Frequency,Left_Woofer_IMON_Frequency,Hz,102,98,,,
Left_Woofer_IMON_Peak_Power,,NA,0.119,0.035,,,
Left_Woofer_IMON_Dbfs,,dB,-19,-27,,,
Left_Woofer_IMON_THDN,,dB,-28,,,,
Left_Woofer_VMON_Frequency,Left_Woofer_VMON_Frequency,Hz,102,98,,,
Left_Woofer_VMON_Peak_Power,,NA,0.22,0.15,,,
Left_Woofer_VMON_Dbfs,,dB,-14,-16,,,
Left_Woofer_VMON_THDN,,dB,-56,,,,
Temperature_Sensor_Left_I2C_Read,,C,30,18,,,
DMM_Reset,,NA,,,,,
Left_DMM_Of_GND,,ohms,1.8,1.4,,,
Left_DMM_Of_PWR,,ohms,1.8,1.4,,,
Left_DMM_Of_AID,,ohms,9,7,,,
Left_DMM_Of_P_DET,,ohms,9.6,5,,,
VBUS_LEFT_TO_GND_OS_TEST,,ohms,,,,,
AID_LEFT_TO_GND_OS_TEST,,ohms,,,,,
P_DET_LEFT_TO_GND_OS_TEST,,ohms,,,,,
VBUS_LEFT_TO_AID_LEFT_OS_TEST,,ohms,,,,,
VBUS_LEFT_TO_P_DET_LEFT_OS_TEST,,ohms,,,,,
AID_LEFT_TO_P_DET_LEFT_OS_TEST,,ohms,,,,,
Audio_Close,,NA,,,,,
ID test,Operate ID,string,,,,,
Info,HardwareCal_Gain,,1.05,0.9,,,
Info,HardwareCal_Offset,,20,-20,,,
VoltageCheck,PP_FUN_BUS_diode@pin54,,630,580,,,
VoltageCheck,PP_VBATT_diode@pin21,,550,450,,,
VoltageCheck,PACK_NEG_diode@pin6,,20,-50,,,
VoltageCheck,PCM_UVP_TRIG_diode@pin14,,780,740,,,
VoltageCheck,ANALOG_AMP_OUT_P_diode@pin12,,400,280,,,
VoltageCheck,ANALOG_AMP_OUT_N_diode@pin3,,410,290,,,
DiagsFW_Version,Compare Batt Vol,,4.4,2.9,,,
DiagsFW_Version,Compare DUT MLB#,,18,18,,,
DiagsFW_Version,Batt Temp,,35,15,,,
SensorData_KadabraInfo,KADABRA_DEVICE_INFO_,string,0x0001,,,,
SensorData_KadabraInfo,KADABRA_DEVICE_ID_,string,0x0001,,,,
SensorData_KadabraInfo,KADABRA_VOTP_1_,string,0xFC4B,,,,
SensorData_KadabraInfo,KADABRA_CHIP_ID1_0_,string,0xA544,,,,
SensorData_KadabraInfo,KADABRA_CTS_CHECKSUM_,string,0x4B79,,,,
SensorData_KadabraInfo,LIGHT_25_MEAN,,500,5,,,
SensorData_KadabraInfo,LIGHT_25_STD,,4,0,,,
SensorData_KadabraInfo,DARK_25_MEAN,,20,5,,,
SensorData_KadabraInfo,DARK_25_STD,,4,0,,,
SensorData_KadabraInfo,LD_25_MEAN,,500,10,,,
SensorData_KadabraInfo,LD_25_STD,,4,0,,,
SensorData_KadabraInfo,Optical_PD_VF,,0.63,0.58,,,
SensorData_KadabraInfo,Optical_VCSEL_VF,,2.04,1.4,,,
