TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
ModuleInitialization,Common:callRPCFunc,,,(moinit_pof),,,,,,psu.power_off,,,
,Common:regex,,(moinit_pof),(moinit_pof_rg),,,"{""pattern"":""(PASS)""}",,,,,,
,Common:callRPCFunc,,,(moinit_init),,,,,,prmrelay.module_init,,,
,Common:regex,,(moinit_init),(moinit_init_rg),,,"{""pattern"":""(PASS)""}",,,,,,
,Common:changeValueFailOrPass,,"(moinit_pof_rg),(moinit_init_rg)",(moinit_cg),,,,,,,,,
,Common:createRecord,,(moinit_cg),,,,"{""subsubtestname"":""Initialize_Module""}",,,,,,
TrinaryInitialization,Common:callRPCFunc,,,(te_dop_4),,,"{""args"":""4""}",,,i2sdma.dma_open,,,
,Common:regex,,(te_dop_4),(te_dop_4_rg),,,"{""pattern"":""(PASS)""}",,,,,,
,Common:callRPCFunc,,,(te_sop),,,,,,i2sdma.i2s_open,,,
,Common:regex,,(te_sop),(te_sop_rg),,,"{""pattern"":""(PASS)""}",,,,,,
,Common:callRPCFunc,,,(te_init_so),,,"{""args"":""S0""}",,,trinary1.trinary_init,,,
,Common:regex,,(te_init_so),(te_init_so_rg),,,"{""pattern"":""(PASS)""}",,,,,,
,Common:changeValueFailOrPass,,"(te_dop_4_rg),(te_sop_rg),(te_init_so_rg)",(te_cg),,,,,,,,,
,Common:createRecord,,(te_cg),,,,"{""subsubtestname"":""Initialize_Trinary""}",,,,,,
UnitConnect,Common:callRPCFunc,,,(con_to_unit),15000,,"{""args"":""left""}",,,trinary1.one_key_all,,,
,Common:regex,,(con_to_unit),(con_to_unit_rg),,,"{""pattern"":""(PASS)""}",,,,,,
,Common:createRecord,,(con_to_unit_rg),,,,"{""subsubtestname"":""MIX_Connects_To_Unit""}",,,,,,
InitMix,Common:initMix,,,,,,,,,,,,
